area_type,availability,location,bhk,total_sqft,bath,balcony,price,price_per_sqft
Super built-up  Area,Ready To Move,Rajasree Layout,3,1420,3,3,70,4929.58
Plot  Area,Ready To Move,Ramagondanahalli,5,9600,6,1,1800,18750
Super built-up  Area,19-Jul,Kanakpura Road,3,1703,3,2,126,7398.71
Super built-up  Area,Ready To Move,Old Madras Road,2,1210,2,1,80,6611.57
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,1210,2,1,50,4132.23
Plot  Area,18-Aug,Veer Sandra,4,3000,4,3,264,8800
Super built-up  Area,Ready To Move,Chikkadunnasandra,3,1398,3,0,51,3648.07
Super built-up  Area,Ready To Move,Nagavarapalya,2,1335,2,3,110,8239.7
Super built-up  Area,Ready To Move,Hennur,2,1255,2,1,52.32,4168.92
Plot  Area,Ready To Move,Mysore Road,4,540,4,2,85,15740.74
Super built-up  Area,18-Apr,Babusapalaya,3,1213,2,1,36.37,2998.35
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1240,2,2,42.04,3390.32
Super built-up  Area,Ready To Move,Yelahanka,2,1076,2,1,78,7249.07
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2,1320,2,3,90,6818.18
Super built-up  Area,19-Mar,Whitefield,2,1216,2,1,80,6578.95
Super built-up  Area,Ready To Move,Thanisandra,2,1100,2,2,42,3818.18
Super built-up  Area,19-Mar,Thanisandra,2,1183,2,1,77.3,6534.23
Super built-up  Area,20-Jan,Balagere,1,656,1,1,38.77,5910.06
Super built-up  Area,19-Dec,Sarjapur  Road,1,534,1,1,19.65,3679.78
Super built-up  Area,Ready To Move,Shikaripalya,3,1285,2,2,45,3501.95
Super built-up  Area,Ready To Move,Hegde Nagar,3,2087.01,4,2,135,6468.58
Built-up  Area,18-Dec,"Off Sarjapur Road,",2,1161,2,1,59,5081.83
Built-up  Area,Ready To Move,Begur,2,1306,2,3,65,4977.03
Super built-up  Area,22-May,Jakkur,4,2249.81,4,2,245,10889.81
Built-up  Area,Ready To Move,Tata Nagar,3,1504,3,2,67,4454.79
Super built-up  Area,18-May,Balagere,1,645,1,1,39,6046.51
Plot  Area,Ready To Move,Esther Enclave Layout,2,1230,2,0,68,5528.46
Built-up  Area,Ready To Move,Hebbal,2,1100,2,2,42,3818.18
Super built-up  Area,Ready To Move,Yelahanka,1,1000,1,0,14,1400
Super built-up  Area,18-Jun,Sadaramangala,2,1260,2,1,62,4920.63
Built-up  Area,Ready To Move,Ambalipura,3,1817,3,3,102,5613.65
Super built-up  Area,19-Jan,Kodihalli,4,3626,5,3,785,21649.2
Super built-up  Area,18-Apr,Basavangudi,2,1180,2,3,124,10508.47
Built-up  Area,Ready To Move,KR Puram,2,1050,2,2,55,5238.1
Plot  Area,Ready To Move,Whitefield,4,2900,4,3,225,7758.62
Built-up  Area,Ready To Move,Kasavanhalli,3,2110,4,3,120,5687.2
Built-up  Area,Ready To Move,Mysore Road,1,500,1,1,17.5,3500
Super built-up  Area,Ready To Move,Murugeshpalya,3,1930,3,3,75,3886.01
Plot  Area,Ready To Move,Harappanahalli,4,4560,5,0,430,9429.82
Super built-up  Area,Ready To Move,Mahadevpura,3,1505,3,2,64,4252.49
Plot  Area,Ready To Move,Jayamahal,4,2400,3,1,750,31250
Super built-up  Area,Ready To Move,Ananth Nagar,2,890,2,1,27,3033.71
Plot  Area,19-Jan,Anekal,2,1200,1,1,36,3000
Super built-up  Area,18-Dec,Gunjur Palya,2,849,2,2,25.4,2991.76
Plot  Area,Ready To Move,Chikka Tirupathi,3,1555,3,1,100,6430.87
Plot  Area,Ready To Move,8th block Koramangala,3,600,2,1,85,14166.67
Carpet  Area,Ready To Move,KR Puram,2,1057,2,2,30,2838.22
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1680,3,2,122,7261.9
Built-up  Area,Ready To Move,Samethanahalli,2,799,2,1,35,4380.48
Built-up  Area,Ready To Move,Sarjapur  Road,3,1450,2,1,75,5172.41
Super built-up  Area,18-Dec,Sarjapur  Road,3,1819,3,2,100,5497.53
Super built-up  Area,Ready To Move,Kanakpura Road,2,1135,2,1,56.74,4999.12
Super built-up  Area,Ready To Move,HSR Layout,3,2020,3,2,160,7920.79
Super built-up  Area,Ready To Move,Vinayaka Layout,5,2700,4,0,170,6296.3
Super built-up  Area,18-Jan,Hosa Road,3,1730,3,2,72.6,4196.53
Built-up  Area,Ready To Move,Dasarahalli,3,1950,3,2,125,6410.26
Super built-up  Area,Ready To Move,Thirumalashettyhally,2,1077,2,1,34.46,3199.63
Super built-up  Area,Ready To Move,Brookefield,3,1706,3,2,115,6740.91
Built-up  Area,Ready To Move,New Gurappana Palya,5,3000,4,0,300,10000
Super built-up  Area,Ready To Move,Channasandra,2,1093,2,1,37,3385.18
Super built-up  Area,Ready To Move,Ambalipura,4,2750,4,0,142,5163.64
Super built-up  Area,18-Feb,Whitefield,2,1340,2,1,101,7537.31
Super built-up  Area,18-Nov,Sarjapur  Road,2,984,2,1,59,5995.93
Super built-up  Area,Ready To Move,AECS Layout,2,1135,2,2,68,5991.19
Plot  Area,18-Dec,Bannerghatta Road,4,2400,4,1,344,14333.33
Super built-up  Area,Ready To Move,Varthur,2,1155,2,2,39,3376.62
Super built-up  Area,Ready To Move,Kaggalipura,1,700,1,0,35,5000
Super built-up  Area,Ready To Move,Horamavu Agara,2,1150,2,1,42,3652.17
Super built-up  Area,Ready To Move,Hormavu,3,1385,2,1,69.25,5000
Super built-up  Area,Ready To Move,Akshaya Nagar,3,2061,4,2,175,8491.02
Super built-up  Area,Ready To Move,Kathriguppe,3,1335,2,3,73.43,5500.37
Super built-up  Area,Ready To Move,Bellandur,2,1015,2,1,60,5911.33
Built-up  Area,Ready To Move,Banashankari Stage III,6,3000,6,2,150,5000
Super built-up  Area,Ready To Move,Electronic City,2,1108,2,1,63,5685.92
Super built-up  Area,Ready To Move,Frazer Town,2,1180,2,1,105,8898.31
Super built-up  Area,18-Sep,Hennur Road,3,1445,2,1,83,5743.94
Super built-up  Area,Ready To Move,Vasanthapura,2,1500,2,2,65,4333.33
Super built-up  Area,18-Jun,KR Puram,2,1085,2,1,46.5,4285.71
Super built-up  Area,Ready To Move,Rachenahalli,2,1050,2,2,52.08,4960
Plot  Area,Ready To Move,Kadugodi,4,2760,4,2,290,10507.25
Built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,1330,2,1,49,3684.21
Plot  Area,18-May,Ramagondanahalli,2,845,2,1,45.82,5422.49
Super built-up  Area,18-Mar,Kadugodi,3,1762,3,3,112,6356.41
Super built-up  Area,Ready To Move,Ambalipura,2,1303,2,2,80,6139.68
Super built-up  Area,Ready To Move,Banagiri Nagar,3,1560,2,2,125,8012.82
Super built-up  Area,19-Jan,Chandapura,3,1110,2,2,29.97,2700
Super built-up  Area,18-May,Doddabanahalli,3,1290,3,2,45.33,3513.95
Super built-up  Area,Ready To Move,Bannerghatta Road,2,1237.5,2,0,49.49,3999.19
Super built-up  Area,18-Mar,9th Phase JP Nagar,3,1780,3,2,88,4943.82
Super built-up  Area,Ready To Move,Budigere,3,1636,3,2,83,5073.35
Built-up  Area,Ready To Move,Sector 2 HSR Layout,2,1332,2,2,101,7582.58
Super built-up  Area,Ready To Move,Sadashiva Nagar,5,7500,5,2,1500,20000
Built-up  Area,Ready To Move,Kodbisanhalli,2,1012,2,2,59,5830.04
Super built-up  Area,Ready To Move,Kengeri,2,1192,2,2,53.5,4488.26
Super built-up  Area,Ready To Move,Abbigere,2,795,2,1,32.54,4093.08
Super built-up  Area,Ready To Move,Uttarahalli,2,1213,2,2,48,3957.13
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1489,3,2,88,5910.01
Super built-up  Area,Ready To Move,Sarjapur,2,1200,2,2,62,5166.67
Super built-up  Area,18-Jul,Electronic City Phase II,2,1140,2,2,28.5,2500
Super built-up  Area,18-Apr,Devanahalli,3,1200,2,1,55.08,4590
Super built-up  Area,18-Aug,Ananth Nagar,2,1200,2,1,36,3000
Plot  Area,Ready To Move,Vidyaranyapura,5,2640,6,1,225,8522.73
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1650,3,1,94,5696.97
Plot  Area,Ready To Move,Bharathnagar,2,1245,2,1,120,9638.55
Super built-up  Area,Ready To Move,Ardendale,2,1224,2,2,67,5473.86
Super built-up  Area,18-Aug,Gunjur,2,1235,2,2,52.76,4272.06
Super built-up  Area,Ready To Move,Yelenahalli,2,1200,2,2,45.6,3800
Built-up  Area,Ready To Move,Yelahanka,3,1342,2,2,75,5588.67
Plot  Area,Ready To Move,9th Phase JP Nagar,3,600,3,2,79,13166.67
Built-up  Area,Ready To Move,TC Palaya,2,1800,2,2,80,4444.44
Plot  Area,Ready To Move,HAL 2nd Stage,4,2280,4,2,615,26973.68
Plot  Area,Ready To Move,Rajaji Nagar,4,2440,2,0,415,17008.2
Super built-up  Area,Ready To Move,Abbigere,2,1130,2,1,46.33,4100
Built-up  Area,Ready To Move,Somasundara Palya,2,1186,2,3,72,6070.83
Super built-up  Area,Ready To Move,Hennur,2,1295,2,1,64,4942.08
Super built-up  Area,Ready To Move,Kudlu Gate,3,1535,3,2,85,5537.46
Super built-up  Area,Ready To Move,Bannerghatta Road,2,905,2,1,65,7182.32
Super built-up  Area,18-Jul,Bhoganhalli,2,1447,2,1,75.97,5250.17
Super built-up  Area,Ready To Move,Hormavu,2,1165,2,1,40,3433.48
Super built-up  Area,19-Jul,Kanakpura Road,2,1328,2,2,107,8057.23
Super built-up  Area,Ready To Move,Gandhi Bazar,3,1485,2,3,110,7407.41
Super built-up  Area,Ready To Move,Uttarahalli,3,1475,2,3,59,4000
Super built-up  Area,Ready To Move,Vidyaranyapura,2,1175,2,2,35,2978.72
Super built-up  Area,Ready To Move,Thigalarapalya,2,1245,2,2,100,8032.13
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,4,720,4,1,95,13194.44
Super built-up  Area,20-Nov,Rachenahalli,2,985,2,1,49.97,5073.1
Plot  Area,Ready To Move,Koramangala,5,4000,5,0,800,20000
Super built-up  Area,Ready To Move,Hoskote,3,1395,2,2,63,4516.13
Super built-up  Area,21-Dec,Hoodi,1,711,1,0,42.65,5998.59
Super built-up  Area,18-Apr,Electronic City,1,630,1,1,40.5,6428.57
Super built-up  Area,Ready To Move,MS Pallya,4,2400,4,1,88,3666.67
Super built-up  Area,Ready To Move,Gottigere,2,1170,2,2,40,3418.8
Super built-up  Area,Ready To Move,Marathahalli,4,2500,5,2,181,7240
Super built-up  Area,Ready To Move,Gubbalala,2,1100,2,2,49.5,4500
Super built-up  Area,18-Mar,Hulimavu,4,3560,5,3,318,8932.58
Plot  Area,Ready To Move,Margondanahalli,2,900,2,0,55,6111.11
Built-up  Area,18-Dec,Bommasandra Industrial Area,2,1160,2,1,33.51,2888.79
Super built-up  Area,18-Jan,Varthur,2,1180,2,2,55,4661.02
Super built-up  Area,21-Jan,Tumkur Road,3,1441,2,1,95,6592.64
Super built-up  Area,Ready To Move,Channasandra Layout,2,1115,2,1,50,4484.3
Super built-up  Area,Ready To Move,Yeshwanthpur,3,1825,3,2,145,7945.21
Carpet  Area,Ready To Move,Challaghatta,2,1489,2,0,101,6783.08
Super built-up  Area,Ready To Move,Defence Colony,4,2800,4,3,365,13035.71
Super built-up  Area,Ready To Move,Subramanyapura,3,1278,3,2,62.71,4906.89
Super built-up  Area,Ready To Move,Subramanyapura,3,1223,2,2,42.81,3500.41
Super built-up  Area,Ready To Move,Hormavu,2,1065,2,1,50.92,4781.22
Super built-up  Area,Ready To Move,Whitefield,2,1190,2,1,64,5378.15
Super built-up  Area,22-Jun,Koramangala,2,1130,2,2,63,5575.22
Super built-up  Area,18-Apr,Banashankari,2,1430,2,2,87.8,6139.86
Built-up  Area,Ready To Move,HRBR Layout,4,1900,3,1,90,4736.84
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1104,2,1,34.22,3099.64
Super built-up  Area,Ready To Move,Begur Road,2,1240,2,2,45.88,3700
Built-up  Area,Ready To Move,Choodasandra,2,1140,2,2,62,5438.6
Super built-up  Area,Ready To Move,Haralur Road,2,1194,2,2,47,3936.35
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,1464,3,2,56,3825.14
Super built-up  Area,Ready To Move,Sarjapur,4,3508,6,2,425,12115.17
Super built-up  Area,Ready To Move,KR Puram,3,1700,3,3,105,6176.47
Super built-up  Area,18-Dec,Old Airport Road,4,2658,5,3,189,7110.61
Super built-up  Area,Ready To Move,Canara Bank Colony,3,1600,2,1,90,5625
Super built-up  Area,Ready To Move,OMBR Layout,4,3400,4,2,275,8088.24
Super built-up  Area,18-Apr,Reliaable Tranquil Layout,3,1508,3,1,75,4973.47
Built-up  Area,18-Jan,Balagere,1,645,1,1,41,6356.59
Super built-up  Area,Ready To Move,Hormavu,2,1046,2,1,60,5736.14
Plot  Area,Ready To Move,Munnekollal,10,1200,8,3,230,19166.67
Built-up  Area,Ready To Move,5th Block Jayanagar,1,1500,1,1,300,20000
Built-up  Area,Ready To Move,Mahalakshmi Puram,6,3000,6,3,300,10000
Super built-up  Area,18-May,Hosa Road,2,1079,2,1,32.37,3000
Super built-up  Area,Ready To Move,Thubarahalli,2,975,2,1,50,5128.21
Built-up  Area,Ready To Move,ISRO Layout,2,1050,2,1,51,4857.14
Plot  Area,Ready To Move,HSR Layout,9,1200,9,0,350,29166.67
Super built-up  Area,Ready To Move,"Jayanagar,",3,1903,3,2,165,8670.52
Super built-up  Area,Ready To Move,Asthagrama Layout,2,1200,2,2,38,3166.67
Super built-up  Area,Ready To Move,Avalahalli,4,2996,4,3,200,6675.57
Built-up  Area,Ready To Move,Manayata Tech Park,4,3400,4,0,200,5882.35
Plot  Area,Ready To Move,Whitefield,4,2000,4,1,312,15600
Plot  Area,Ready To Move,Jigani,4,1453,4,1,160,11011.7
Super built-up  Area,Ready To Move,Parappana Agrahara,2,1092,2,2,43,3937.73
Super built-up  Area,Ready To Move,Hormavu,2,1400,2,0,75,5357.14
Super built-up  Area,Ready To Move,Bommanahalli,3,1416,2,1,85,6002.82
Built-up  Area,Ready To Move,ITI Layout,3,1602,2,1,75,4681.65
Super built-up  Area,Ready To Move,Electronic City,2,1100,2,1,41,3727.27
Super built-up  Area,Ready To Move,Kothanur,3,1760,3,0,110,6250
Super built-up  Area,Ready To Move,Marathahalli,4,3800,4,3,235,6184.21
Super built-up  Area,Ready To Move,Vasanthapura,2,1037,2,1,36.28,3498.55
Super built-up  Area,Ready To Move,Yeshwanthpur,3,1384,2,2,76.18,5504.34
Super built-up  Area,22-Jan,Vajarahalli,1,551,1,1,30,5444.65
Plot  Area,Ready To Move,Indira Nagar,4,2400,5,0,1250,52083.33
Plot  Area,Ready To Move,7th Phase JP Nagar,1,500,1,0,70,14000
Super built-up  Area,18-Apr,Sarjapur,2,900,2,2,27.98,3108.89
Plot  Area,Ready To Move,Anandapura,3,1415,2,1,74,5229.68
Super built-up  Area,18-Mar,Rajarajesheari nagar,2,1400,2,1,44.8,3200
Plot  Area,Ready To Move,Devara Jeevanahalli,7,1300,4,1,52,4000
Built-up  Area,Ready To Move,Millers Road,3,2850,4,3,460,16140.35
Built-up  Area,Ready To Move,Kudlu,2,1030,2,2,75,7281.55
Built-up  Area,Ready To Move,Kambipura,2,883,2,1,39,4416.76
Super built-up  Area,Ready To Move,Celebrity Paradise Layout,1,550,1,1,16,2909.09
Super built-up  Area,Ready To Move,Anjanapura,4,1800,4,2,55,3055.56
Plot  Area,Ready To Move,Yemlur,5,10000,5,0,1950,19500
Super built-up  Area,Ready To Move,Old Madras Road,2,1210,2,1,77,6363.64
Plot  Area,Ready To Move,Vishveshwarya Layout,4,2000,3,0,90,4500
Super built-up  Area,21-Oct,Kanakpura Road,3,1100,3,1,58,5272.73
Super built-up  Area,Ready To Move,Lavakusha Nagar,3,1780,3,1,100,5617.98
Plot  Area,Ready To Move,2nd Block Hbr Layout,5,950,5,2,55,5789.47
Built-up  Area,Ready To Move,Panathur,2,1050,2,2,60,5714.29
Super built-up  Area,Ready To Move,Hosur Road,3,1370,3,3,38.36,2800
Super built-up  Area,Ready To Move,Marathahalli,4,3951,4,3,230,5821.31
Super built-up  Area,Ready To Move,Bellandur,3,2500,4,2,112,4480
Built-up  Area,Ready To Move,Sri Venkateshpura Layout,2,1050,2,1,49.5,4714.29
Super built-up  Area,Ready To Move,Anjanapura,3,1843,3,1,87.54,4749.86
Plot  Area,Ready To Move,3rd Block Banashankari,4,1200,4,1,175,14583.33
Super built-up  Area,Ready To Move,Somasundara Palya,2,1186,2,1,76,6408.09
Super built-up  Area,18-Aug,Haralur Road,1,560,1,1,45,8035.71
Super built-up  Area,Ready To Move,Narayanapura,3,2357,3,2,135,5727.62
Plot  Area,Ready To Move,Mahalakshmi Layout,4,1200,3,1,160,13333.33
Super built-up  Area,20-Jan,Yelahanka,3,1823,3,2,103,5650.03
Built-up  Area,Ready To Move,Rajasree Layout,3,1310,3,3,90,6870.23
Super built-up  Area,Ready To Move,Varthur,3,1520,2,2,60,3947.37
Super built-up  Area,18-Jul,Bhoganhalli,3,1610,3,1,74.03,4598.14
Plot  Area,18-Aug,Whitefield,3,1500,3,1,78.57,5238
Super built-up  Area,Ready To Move,LB Shastri Nagar,3,1400,2,2,80,5714.29
Super built-up  Area,Ready To Move,HRBR Layout,3,1625,3,2,120,7384.62
Plot  Area,Ready To Move,Chikkalasandra,5,1500,5,3,265,17666.67
Built-up  Area,Ready To Move,Hessarghatta,2,900,2,1,24,2666.67
Built-up  Area,Ready To Move,Talaghattapura,2,1100,2,0,32,2909.09
Super built-up  Area,Ready To Move,Bannerghatta Road,2,1000,2,1,50,5000
Super built-up  Area,18-Dec,Old Airport Road,4,2774,4,3,197,7101.66
Super built-up  Area,Ready To Move,Yeshwanthpur,1,994,2,0,54.67,5500
Super built-up  Area,Ready To Move,Kaggadasapura,3,1455,3,3,75,5154.64
Plot  Area,Ready To Move,Chandapura,5,1200,3,1,79,6583.33
Built-up  Area,Ready To Move,Lakshminarayana Pura,2,1172,2,1,75,6399.32
Super built-up  Area,Ready To Move,Hennur,3,1935,3,2,102,5271.32
Super built-up  Area,Ready To Move,Rachenahalli,3,1856,3,3,106,5711.21
Super built-up  Area,Ready To Move,Old Airport Road,3,2392,3,2,249,10409.7
Super built-up  Area,Ready To Move,Uttarahalli,2,900,2,2,35,3888.89
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1757,3,3,98,5577.69
Super built-up  Area,Ready To Move,Kudlu,2,1027,2,2,44,4284.32
Super built-up  Area,Ready To Move,Whitefield,3,1626,3,3,85,5227.55
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,2,1200,2,1,54,4500
Super built-up  Area,19-Dec,Hoodi,3,1559,3,1,81.55,5230.92
Super built-up  Area,Ready To Move,Amruthahalli,2,1190,2,2,50,4201.68
Super built-up  Area,Ready To Move,KR Puram,2,1200,2,1,72,6000
Super built-up  Area,Ready To Move,Harlur,2,1174,2,1,74,6303.24
Built-up  Area,Ready To Move,Kanakpura Road,2,1140,2,1,65,5701.75
Built-up  Area,Ready To Move,Vibuthipura,3,1603,2,0,125,7797.88
Super built-up  Area,Ready To Move,Subramanyapura,3,1278,3,2,70,5477.31
Super built-up  Area,Ready To Move,Krishna Reddy Layout,3,2180,3,0,285,13073.39
Super built-up  Area,Ready To Move,Banashankari Stage III,2,1085,2,1,50,4608.29
Super built-up  Area,19-Jun,Whitefield,2,1195,2,1,61.36,5134.73
Plot  Area,Ready To Move,Kamakshipalya,1,450,1,0,30,6666.67
Super built-up  Area,19-Jan,Rajaji Nagar,4,6500,5,2,1400,21538.46
Super built-up  Area,Ready To Move,Attibele,1,550,1,1,11.5,2090.91
Super built-up  Area,Ready To Move,Kenchenahalli,2,1165,2,2,45,3862.66
Super built-up  Area,Ready To Move,1st Stage Indira Nagar,4,3000,4,2,301,10033.33
Super built-up  Area,Ready To Move,Kanakpura Road,3,1452,3,3,60,4132.23
Super built-up  Area,18-Jan,Sarjapur  Road,1,702,1,1,52,7407.41
Super built-up  Area,Ready To Move,Banashankari,2,1020,2,1,42.83,4199.02
Super built-up  Area,18-May,Devanahalli,2,1340,2,1,65,4850.75
Super built-up  Area,18-Apr,Marathahalli,2,1125,2,1,54.8,4871.11
Super built-up  Area,Ready To Move,JCR Layout,2,1160,2,1,40.53,3493.97
Built-up  Area,Ready To Move,Vidyaranyapura,2,1050,2,1,50,4761.9
Super built-up  Area,19-Dec,JP Nagar,3,1960,3,1,138,7040.82
Built-up  Area,Ready To Move,Ganga Nagar,2,1200,3,2,52,4333.33
Plot  Area,Ready To Move,Judicial Layout,3,1200,4,1,220,18333.33
Super built-up  Area,18-Dec,Old Airport Road,4,3496,4,0,262,7494.28
Super built-up  Area,Ready To Move,Electronic City,2,975,2,1,32,3282.05
Super built-up  Area,Ready To Move,Kudlu,3,1700,3,3,125,7352.94
Built-up  Area,Ready To Move,8th Phase JP Nagar,4,1800,4,0,230,12777.78
Plot  Area,Ready To Move,Madavara,4,612,3,0,47,7679.74
Built-up  Area,Ready To Move,Brooke Bond First Cross,2,1275,2,3,69,5411.76
Built-up  Area,Ready To Move,Yeshwanthpur,1,650,1,0,40,6153.85
Super built-up  Area,Ready To Move,Kasavanhalli,2,1495,2,2,110,7357.86
Super built-up  Area,Ready To Move,Hebbal,2,1200,2,2,48,4000
Plot  Area,Ready To Move,Sarjapura - Attibele Road,5,3750,6,2,295,7866.67
Super built-up  Area,19-Mar,Hennur Road,3,1679,3,2,94.86,5649.79
Super built-up  Area,Ready To Move,Kaval Byrasandra,3,1450,3,2,75,5172.41
Super built-up  Area,18-Nov,Balagere,2,1210,2,1,82,6776.86
Super built-up  Area,18-May,Dwaraka Nagar,3,1300,2,1,51,3923.08
Super built-up  Area,Ready To Move,Judicial Layout,2,1165,2,1,49.61,4258.37
Super built-up  Area,Ready To Move,Keshava Nagar,3,1623,3,3,155,9550.22
Super built-up  Area,Ready To Move,Channasandra,2,1115,2,1,35.8,3210.76
Super built-up  Area,Ready To Move,BTM Layout,1,450,1,1,20,4444.44
Super built-up  Area,18-Apr,Electronics City Phase 1,2,1170,2,1,62,5299.15
Built-up  Area,Ready To Move,KR Puram,4,2065,4,0,248,12009.69
Built-up  Area,Ready To Move,Marathahalli,3,1700,3,2,126,7411.76
Plot  Area,Ready To Move,Uttarahalli,6,1080,5,2,160,14814.81
Super built-up  Area,Ready To Move,Malleshpalya,2,1245,2,1,55,4417.67
Built-up  Area,19-Dec,Kanakapura,2,1017,2,1,66,6489.68
Plot  Area,Ready To Move,7th Phase JP Nagar,6,650,6,2,80,12307.69
Super built-up  Area,18-Mar,Sarjapur  Road,2,1242,2,1,75,6038.65
Super built-up  Area,18-Mar,Yelahanka,3,1792,3,1,104,5803.57
Super built-up  Area,18-Aug,Garebhavipalya,3,1275,3,2,55,4313.73
Plot  Area,Ready To Move,8th Phase JP Nagar,6,1200,6,1,260,21666.67
Plot  Area,Ready To Move,7th Block Jayanagar,3,2400,3,0,408,17000
Super built-up  Area,Ready To Move,Electronic City,1,605,1,1,22,3636.36
Plot  Area,Ready To Move,HBR Layout,4,1200,4,2,115,9583.33
Super built-up  Area,18-Dec,Electronics City Phase 1,3,1450,3,2,79,5448.28
Plot  Area,Ready To Move,Bommenahalli,3,1232,3,1,96,7792.21
Plot  Area,Ready To Move,Laggere,5,1800,5,0,70,3888.89
Built-up  Area,Ready To Move,Sidedahalli,1,900,1,1,52.3,5811.11
Super built-up  Area,Ready To Move,Kaggadasapura,2,1200,2,2,40,3333.33
Super built-up  Area,Ready To Move,Kadugodi,4,2100,3,0,204,9714.29
Super built-up  Area,18-Aug,Uttarahalli,2,1065,2,1,42.6,4000
Super built-up  Area,Ready To Move,AGS Layout,2,1075,2,1,48.38,4500.47
Plot  Area,Ready To Move,Anand Nagar,6,1508,5,2,240,15915.12
Super built-up  Area,Ready To Move,Lake City,2,780,2,1,31,3974.36
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1070,2,1,42.79,3999.07
Super built-up  Area,Ready To Move,Haralur Road,3,1464,3,2,56,3825.14
Super built-up  Area,18-Oct,Ramagondanahalli,3,1910,3,2,150,7853.4
Built-up  Area,Ready To Move,Cox Town,2,1280,2,1,120,9375
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1530,3,2,64,4183.01
Built-up  Area,Ready To Move,Bhoganhalli,4,2439,5,2,170,6970.07
Super built-up  Area,Ready To Move,Varsova Layout,2,1088,2,2,43.5,3998.16
Super built-up  Area,Ready To Move,Harlur,2,1174,2,1,78,6643.95
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,3,1587,3,1,73.8,4650.28
Built-up  Area,Ready To Move,Kaggadasapura,2,1045,2,2,55,5263.16
Super built-up  Area,Ready To Move,Yelahanka,2,1304,2,1,69.97,5365.8
Super built-up  Area,Ready To Move,Whitefield,2,1100,2,2,65,5909.09
Super built-up  Area,18-May,Hennur Road,3,1482,2,1,68.9,4649.12
Built-up  Area,18-Mar,Devanahalli,3,2125,3,1,107,5035.29
Super built-up  Area,Ready To Move,Varthur,5,1000,4,0,65,6500
Super built-up  Area,Ready To Move,Parappana Agrahara,2,1194,2,2,45,3768.84
Super built-up  Area,Ready To Move,Kengeri,2,1200,2,3,42,3500
Super built-up  Area,Ready To Move,Volagerekallahalli,2,1070,2,2,32.99,3083.18
Super built-up  Area,Ready To Move,Whitefield,2,1100,2,1,46.5,4227.27
Built-up  Area,Ready To Move,Whitefield,3,1270,2,2,65,5118.11
Super built-up  Area,Ready To Move,Marasandra,2,1000,2,1,31,3100
Super built-up  Area,Ready To Move,Vittasandra,2,1246,2,1,69,5537.72
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1529,3,3,51.77,3385.87
Super built-up  Area,Ready To Move,Thanisandra,2,1185,2,2,42,3544.3
Super built-up  Area,Ready To Move,Gubbalala,2,1060,2,1,46,4339.62
Super built-up  Area,Ready To Move,Ananth Nagar,3,1319,3,1,37.75,2862.02
Super built-up  Area,Ready To Move,Kaikondrahalli,2,991,2,0,64,6458.12
Super built-up  Area,Ready To Move,Thanisandra,1,662,1,0,38,5740.18
Built-up  Area,Ready To Move,Nandini Layout,2,1200,2,1,110,9166.67
Plot  Area,18-Apr,tc.palya,3,1400,2,1,78,5571.43
Super built-up  Area,Ready To Move,Talaghattapura,3,1575,3,2,80,5079.37
Plot  Area,Ready To Move,Hosakerehalli,2,600,2,0,65,10833.33
Plot  Area,Ready To Move,Electronic City,5,717,5,1,78,10878.66
Super built-up  Area,Ready To Move,Ananth Nagar,3,1319,3,1,42,3184.23
Plot  Area,Ready To Move,Brookefield,3,2000,3,2,300,15000
Plot  Area,Ready To Move,9th Phase JP Nagar,3,600,3,2,85,14166.67
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,940,2,1,48,5106.38
Built-up  Area,Ready To Move,Singasandra,1,600,1,0,45,7500
Super built-up  Area,18-Sep,Chandapura,2,985,2,1,25.12,2550.25
Plot  Area,Ready To Move,Kodigehalli,2,500,1,0,55,11000
Super built-up  Area,Ready To Move,Bharathi Nagar,2,1349,2,2,56.7,4203.11
Built-up  Area,18-Jun,Whitefield,3,3117,3,2,261,8373.44
Super built-up  Area,Ready To Move,HSR Layout,3,1844,3,3,95,5151.84
Super built-up  Area,Ready To Move,Thigalarapalya,3,1830,4,2,150,8196.72
Super built-up  Area,Ready To Move,Sarjapur  Road,3,2275,4,2,185,8131.87
Super built-up  Area,18-Aug,Varthur Road,2,1140,2,2,49.11,4307.89
Plot  Area,Ready To Move,Banjara Layout,3,900,3,1,79,8777.78
Super built-up  Area,Ready To Move,Jaya Mahal layout,3,2648,3,3,238,8987.92
